Day,Phase,Condition,Repetition,Dominant_Frequency_Hz,RMS_Amplitude
D1,Rest1,Rest,1,3.27,0.07
D1,Task1,Task,1,3.72,0.69
D1,Rest2,Rest,2,4.69,0.26
D1,Task2,Task,2,3.63,0.72
D1,Rest3,Rest,3,4.85,0.07
D2,Rest1,Rest,1,4.52,0.08
D2,Task1,Task,1,3.18,0.86
D2,Rest2,Rest,2,4.73,0.08
D2,Task2,Task,2,4.15,0.88
D2,Rest3,Rest,3,3.48,0.12
D2,Task3,Task,3,3.18,1.15
D2,Rest4,Rest,4,3.04,0.15
D3,Rest1,Rest,1,4.348,0.089
D3,Task1,Task,1,4.012,0.974
D3,Rest2,Rest,2,3.567,0.188
D3,Task2,Task,2,3.467,0.704
D3,Rest3,Rest,3,3.008,0.189
D3,Task3,Task,3,4.682,0.946
D3,Rest4,Rest,4,3.015,0.039
