"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
9.134708322E-3,2.786064869E-1,1.158953226E-1,-2.689906311E-1
1.916770835E-2,4.586148480E-1,4.327360582E-1,-2.271584809E-2
2.919945831E-2,1.423582857E-1,-2.153529525E-3,-7.830591202E-3
3.923245834E-2,1.630321034E-1,5.110700369E-2,-5.211038589E-3
4.926545825E-2,1.449371271E-2,1.700966728E-1,-4.647483945E-2
5.929745827E-2,-2.209042259E-1,2.249681139E-1,-4.019902289E-2
6.933045830E-2,-2.615140523E-1,2.080655676E-1,-1.765566766E-2
7.936245832E-2,-2.197800256E-1,7.067471087E-2,-7.428595126E-2
8.939545834E-2,-1.841052859E-1,-1.017392135E-1,8.163297772E-3
9.942845826E-2,-2.217874479E-2,-6.015381575E-2,8.642301679E-2
1.094604583E-1,7.866138618E-2,-5.507258534E-2,1.380562699E-1
1.194934583E-1,7.447295252E-2,-8.626981974E-2,1.362687761E-1
1.295264583E-1,-3.927647844E-2,-8.860461295E-2,6.815046787E-2
1.395584584E-1,-1.188082227E-1,-3.001200378E-2,-1.942211151E-2
1.495914583E-1,-1.437603018E-1,4.709990680E-2,1.784043968E-2
1.596244583E-1,-1.370226649E-1,8.685454130E-3,-1.612720549E-2
1.696564583E-1,-2.969479233E-2,-5.423292518E-2,-3.060140312E-2
1.796894583E-1,8.499333601E-2,-5.554737926E-2,2.503076077E-2
1.897224582E-1,1.534737696E-1,-4.382546604E-2,1.221249461E-2
1.997544583E-1,9.583652236E-2,-1.092680883E-1,-4.861608982E-2
2.097874583E-1,4.548870653E-2,-1.064011985E-1,-5.846923292E-2
2.198194583E-1,3.292950857E-2,-7.351119518E-3,-7.405907929E-2
2.298524583E-1,-4.608245473E-2,6.836856902E-2,-1.085249072E-1
2.398854583E-1,-6.805161338E-2,1.463692564E-1,-5.718050659E-2
2.499174583E-1,1.368069392E-2,1.703130198E-1,9.116393924E-3
2.599504583E-1,4.475173809E-2,7.577055931E-2,8.082606196E-3
2.699834583E-1,2.256038524E-2,1.056357980E-2,7.065190673E-3
2.800154582E-1,-4.582652941E-2,-1.676689088E-2,6.181968749E-2
2.900484583E-1,1.417836506E-2,-1.979340971E-2,8.115233660E-2
3.000814583E-1,4.712559801E-2,1.157631755E-2,6.558763325E-2
3.101134583E-1,1.598025765E-2,8.055709004E-3,4.822900414E-2
3.201464583E-1,-6.331920594E-2,1.733699441E-3,1.005545676E-2
3.301794583E-1,-7.868320361E-2,3.144164801E-2,-2.200131834E-2
3.402114583E-1,-8.697634611E-2,5.280737400E-2,-2.140490234E-2
3.502444583E-1,-1.276516978E-1,5.250799656E-3,-1.899058700E-2
3.602774583E-1,-1.285328001E-1,-9.481611013E-2,-6.921232224E-2
3.703094583E-1,-1.351803169E-2,2.429050326E-2,-6.267513514E-2
3.803424583E-1,2.127692141E-2,7.723002434E-2,2.038631737E-2
3.903744583E-1,5.324412446E-2,2.081140995E-2,7.620149910E-2
4.004074583E-1,1.043274104E-1,-3.137498975E-2,5.811489165E-2
4.104404583E-1,1.097181412E-1,-3.557504475E-2,8.353624642E-2
4.204724582E-1,1.015205276E-1,-8.047522902E-3,4.557144463E-2
4.305054583E-1,-8.423973955E-3,-7.592024803E-3,-6.565253735E-3
4.405384583E-1,-4.792692237E-2,2.597216249E-2,1.257969975E-2
4.505704583E-1,-6.784389105E-2,-3.352208734E-3,3.313441694E-2
4.606034583E-1,-9.994408172E-2,-3.508914113E-2,3.098088741E-2
4.706364583E-1,-7.884411167E-2,-7.548755407E-3,3.509498835E-3
4.806684583E-1,-7.005475983E-2,5.945624292E-2,1.775039256E-2
4.907014583E-1,-4.795495246E-2,4.374828279E-2,2.049039781E-2
5.007344583E-1,-1.752271660E-2,2.410631597E-2,8.896538615E-3
5.107664583E-1,3.734298695E-2,3.070255995E-2,3.825248480E-2
5.207994583E-1,3.614372302E-2,1.594711125E-2,3.279527843E-2
5.308324583E-1,3.210494153E-2,2.315497398E-2,3.287246168E-2
5.408644583E-1,4.893911194E-2,2.496117890E-2,4.823251247E-2
5.508974583E-1,1.784175530E-2,1.887130380E-2,1.188271165E-2
5.609304582E-1,-1.467033517E-2,3.446816683E-2,-1.490455270E-3
5.709624583E-1,-3.933473133E-2,1.332638919E-2,-1.929873526E-2
5.809954583E-1,-3.980627272E-2,8.203058839E-3,-5.413878500E-2
5.910274583E-1,-4.663472425E-2,7.793753743E-3,-3.179014206E-2
6.010604583E-1,-2.749104984E-2,-6.979821324E-3,-1.281709671E-2
6.110934583E-1,-3.407855954E-2,-1.243468881E-2,-2.554005325E-2
6.211254583E-1,9.234653860E-3,-1.740774572E-2,3.192813635E-2
6.311584583E-1,4.345913798E-2,6.238979101E-4,5.688054442E-2
6.411914583E-1,1.178579405E-3,-2.693636835E-2,2.403497994E-2
6.512234583E-1,-9.133899026E-3,-2.095057368E-2,1.029987037E-2
6.612564583E-1,-5.058572441E-4,-7.044725418E-3,2.728720129E-2
6.712894583E-1,2.340194575E-2,-1.103954315E-3,4.017914236E-2
6.813214583E-1,-6.909362376E-3,6.858783960E-3,4.211749434E-2
6.913544583E-1,-5.887806293E-2,2.895950496E-2,2.285793543E-2
7.013874582E-1,-1.302441705E-2,6.302713752E-3,8.881335855E-3
7.114194583E-1,-3.670991622E-3,1.276856482E-2,1.632659554E-2
7.214524583E-1,-9.543021396E-3,1.942152679E-2,-9.497632384E-3
7.314854583E-1,-2.087602168E-2,1.870465815E-2,7.013150454E-3
7.415174583E-1,-3.485163454E-2,1.029870093E-2,-2.420454919E-2
7.515504583E-1,-1.992212154E-2,-8.991848230E-3,-2.655980766E-2
7.615834583E-1,-6.180214584E-3,-1.159502864E-3,-1.034957170E-2
7.716154583E-1,1.206054009E-2,2.152243137E-2,-1.520860791E-3
7.816484583E-1,3.519274648E-2,4.937973619E-3,1.071853101E-2
7.916804584E-1,2.620290823E-2,-8.728138804E-3,-4.815766811E-3
8.017134583E-1,3.339195024E-2,2.649373412E-3,1.347490847E-2
8.117464583E-1,1.362518191E-2,5.533804893E-3,7.406083345E-3
8.217784583E-1,-3.919279017E-2,-1.515013576E-2,-5.248460770E-3
8.318114583E-1,-6.199817374E-2,-4.718118310E-3,-1.343339324E-2
8.418444582E-1,-5.566969570E-2,1.277558148E-2,1.106994867E-2
8.518764583E-1,-3.286248486E-2,2.751056492E-2,4.291213095E-2
8.619094583E-1,-3.562105503E-2,2.705857515E-2,2.334559321E-2
8.719424583E-1,-4.726479828E-2,1.878885806E-2,-1.013030112E-2
8.819744583E-1,-3.172969647E-2,2.590901256E-2,-5.974684954E-3
8.920074583E-1,-3.356561255E-2,8.845083117E-3,-5.085908175E-3
9.020404583E-1,-4.503803238E-2,-6.178752780E-3,-5.154262125E-2
9.120724583E-1,-5.033835065E-2,9.074878693E-3,-3.254033983E-2
9.221054583E-1,-1.150004793E-2,4.259696603E-3,1.780886471E-2
9.321384582E-1,3.309359606E-2,6.586303711E-3,3.007456899E-2
9.421704583E-1,3.799308769E-2,4.607021213E-3,3.854192197E-2
9.522034583E-1,1.895166647E-2,6.439538598E-3,1.078635871E-2
9.622364583E-1,-4.821540937E-3,-6.048359871E-3,-9.075463414E-3
9.722684583E-1,3.227663040E-3,-9.940266609E-4,-4.070246816E-3
9.823014583E-1,2.537004545E-2,3.436408639E-3,2.814557254E-2
9.923334583E-1,2.037732728E-2,9.522775412E-3,2.443376005E-2
1.002366458E0,1.971845571E-2,-1.781003416E-2,3.709941387E-2
1.012399458E0,7.959120311E-3,-1.619152486E-2,2.786607563E-2
1.022432333E0,-2.269731972E-2,7.833514810E-3,1.111906528E-2
1.032465333E0,-1.276980735E-2,2.052489638E-2,9.560782313E-3
1.042498333E0,-2.548943829E-2,2.586165011E-2,2.315146565E-2
1.052530333E0,-7.514556505E-2,2.911094785E-2,-3.684915304E-3
1.062563333E0,-6.016240384E-2,1.540858269E-2,-3.801274896E-3
1.072596333E0,-4.861550510E-2,1.320418239E-2,-1.896018147E-2
1.082628333E0,-1.897132773E-2,2.603882074E-2,-1.728787780E-2
1.092661333E0,-1.637940321E-2,2.511262178E-2,7.292647362E-3
1.102694333E0,-1.608309556E-2,7.452861071E-3,-1.540273547E-2
1.112726333E0,-2.341681961E-2,9.843202829E-3,9.356714487E-3
1.122759333E0,-1.968055844E-2,-2.345259726E-2,3.810630441E-3
1.132792333E0,-1.239565864E-2,-1.610030830E-2,-2.302399635E-2
1.142824333E0,3.260845989E-3,2.856364846E-3,-6.796218753E-3
1.152857333E0,7.832089551E-3,3.720583320E-3,1.650552034E-2
1.162890333E0,3.673345126E-2,5.997489095E-3,2.979858041E-2
1.172922333E0,3.706038371E-2,-2.356954157E-2,4.491948009E-2
1.182955333E0,1.042660877E-2,-6.296281815E-3,1.786909103E-2
1.192988333E0,-4.233932309E-3,1.034197032E-2,-4.141115069E-2
1.203020333E0,-2.496234834E-2,2.430278242E-2,-4.092700124E-2
1.213053333E0,-2.816947304E-2,2.292283952E-2,4.988844395E-3
1.223085333E0,-2.414556541E-2,3.428807259E-2,2.317368507E-2
1.233118333E0,-1.717166439E-2,4.754429519E-2,2.527985215E-2
1.243151333E0,-1.847712837E-2,4.253732443E-2,1.745393872E-2
1.253183333E0,-4.383094780E-2,3.589196384E-2,-6.752364635E-3
1.263216333E0,-4.705583341E-2,3.338000000E-2,-3.006872177E-2
1.273249333E0,-2.952054530E-2,2.533306181E-2,1.069631159E-2
1.283281333E0,7.122274116E-3,-2.276905775E-3,1.507002890E-2
1.293314333E0,-1.078233875E-2,-1.460809886E-2,-1.147223711E-3
1.303347333E0,-1.449952338E-2,-3.200005710E-2,-1.080273092E-2
1.313379333E0,-6.390348896E-3,-5.919194877E-2,-3.502131343E-2
1.323412333E0,-2.175953597E-2,-3.830277085E-2,1.041798413E-2
1.333445333E0,1.765833545E-2,-1.446191847E-2,2.487697899E-2
1.343477333E0,4.581936657E-2,-1.078168094E-2,5.725535095E-2
1.353510333E0,4.126339886E-2,-1.716976404E-2,5.171745300E-2
1.363543333E0,2.602303326E-3,8.332282305E-4,1.181254506E-2
1.373575333E0,-3.987216353E-3,7.402575016E-3,-1.120151103E-2
1.383608333E0,-8.842269145E-3,1.485660553E-2,-1.266156077E-2
1.393640333E0,-3.575890314E-2,2.294798255E-2,-1.841697514E-2
1.403673333E0,-2.247914549E-2,3.223394573E-2,1.870933592E-2
1.413706333E0,-2.015414637E-2,5.036265314E-2,2.225801110E-2
1.423738333E0,-8.766986243E-3,3.924241841E-2,-5.687001944E-3
1.433771333E0,-4.360049441E-3,3.338818610E-2,-2.086988211E-2
1.443804333E0,-5.356049538E-3,2.170720339E-2,-2.028632998E-2
1.453836333E0,-1.551551364E-2,1.300537705E-2,3.687254190E-3
1.463869333E0,-8.550091088E-4,2.487580955E-2,-6.421996951E-3
1.473902333E0,-2.832142755E-2,1.698850036E-2,-1.618743181E-2
1.483934333E0,-3.069802836E-2,-5.212208033E-3,-2.149670362E-2
1.493967333E0,-2.637715526E-2,-1.801351726E-2,-1.226395011E-2
1.504000333E0,-2.899791386E-2,-8.857946992E-3,-1.117052078E-2
1.514032333E0,-1.682112381E-2,-6.776338220E-3,-3.621765375E-3
1.524065333E0,9.381126612E-5,3.266254663E-3,2.824380577E-2
1.534098333E0,1.830178499E-3,2.352334857E-3,3.326130152E-2
1.544130333E0,-1.503337417E-2,-2.873321772E-3,3.412201166E-2
1.554163333E0,2.370165210E-2,-1.242007077E-2,4.497561336E-2
1.564196333E0,7.672241293E-3,-1.714403629E-3,2.765557587E-2
1.574228333E0,-3.335218918E-2,6.355923414E-3,7.420701385E-3
1.584261333E0,6.740414388E-3,2.554648519E-3,1.928411722E-2
1.594293333E0,2.055146467E-2,-2.103068054E-2,3.103702068E-2
